GPU 0: NVIDIA A100 80GB PCIe (UUID: GPU-439e77c6-925a-153f-7807-eb1495e35f3b)
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2022 NVIDIA Corporation
Built on Wed_Jun__8_16:49:14_PDT_2022
Cuda compilation tools, release 11.7, V11.7.99
Build cuda_11.7.r11.7/compiler.31442593_0
Python 3.10.20

===== Fold 1 =====
{'loss': '0.03964', 'grad_norm': '4.293', 'learning_rate': '1.769e-05', 'epoch': '0.9246'}
{'loss': '0.02823', 'grad_norm': '6.164', 'learning_rate': '1.767e-05', 'epoch': '0.9307'}
{'loss': '0.04321', 'grad_norm': '0.01685', 'learning_rate': '1.766e-05', 'epoch': '0.9367'}
{'loss': '0.07244', 'grad_norm': '12.85', 'learning_rate': '1.764e-05', 'epoch': '0.9428'}
{'loss': '0.01772', 'grad_norm': '0.1601', 'learning_rate': '1.763e-05', 'epoch': '0.9489'}
{'loss': '0.05431', 'grad_norm': '0.02312', 'learning_rate': '1.761e-05', 'epoch': '0.955'}
{'loss': '0.06897', 'grad_norm': '0.02512', 'learning_rate': '1.76e-05', 'epoch': '0.9611'}
{'loss': '0.003443', 'grad_norm': '0.7218', 'learning_rate': '1.758e-05', 'epoch': '0.9672'}
{'loss': '0.004977', 'grad_norm': '0.4875', 'learning_rate': '1.757e-05', 'epoch': '0.9732'}
{'loss': '0.02312', 'grad_norm': '0.3342', 'learning_rate': '1.755e-05', 'epoch': '0.9793'}
{'loss': '0.02254', 'grad_norm': '0.01609', 'learning_rate': '1.754e-05', 'epoch': '0.9854'}
{'loss': '0.02043', 'grad_norm': '0.02429', 'learning_rate': '1.752e-05', 'epoch': '0.9915'}
{'loss': '0.08277', 'grad_norm': '0.1984', 'learning_rate': '1.751e-05', 'epoch': '0.9976'}
{'eval_loss': '0.5051', 'eval_accuracy': '0.9123', 'eval_precision': '0.8997', 'eval_recall': '0.939', 'eval_f1': '0.9189', 'eval_runtime': '3.259', 'eval_samples_per_second': '3987', 'eval_steps_per_second': '62.59', 'epoch': '1'}
{'loss': '0.01332', 'grad_norm': '0.03321', 'learning_rate': '1.749e-05', 'epoch': '1.004'}
{'loss': '0.01596', 'grad_norm': '0.03002', 'learning_rate': '1.748e-05', 'epoch': '1.01'}
{'loss': '0.002587', 'grad_norm': '0.01554', 'learning_rate': '1.746e-05', 'epoch': '1.016'}
{'loss': '0.0009483', 'grad_norm': '0.01255', 'learning_rate': '1.745e-05', 'epoch': '1.022'}
{'loss': '0.01299', 'grad_norm': '0.0156', 'learning_rate': '1.743e-05', 'epoch': '1.028'}
{'loss': '0.0007996', 'grad_norm': '0.01713', 'learning_rate': '1.742e-05', 'epoch': '1.034'}
{'loss': '0.019', 'grad_norm': '0.006336', 'learning_rate': '1.74e-05', 'epoch': '1.04'}
{'loss': '0.004316', 'grad_norm': '0.01713', 'learning_rate': '1.739e-05', 'epoch': '1.046'}
{'loss': '0.06349', 'grad_norm': '4.461', 'learning_rate': '1.737e-05', 'epoch': '1.052'}
{'loss': '0.00848', 'grad_norm': '0.01193', 'learning_rate': '1.736e-05', 'epoch': '1.058'}
{'loss': '0.0111', 'grad_norm': '0.006415', 'learning_rate': '1.734e-05', 'epoch': '1.064'}
{'loss': '0.009333', 'grad_norm': '3.414', 'learning_rate': '1.733e-05', 'epoch': '1.071'}
{'loss': '0.02505', 'grad_norm': '0.5253', 'learning_rate': '1.731e-05', 'epoch': '1.077'}
{'loss': '0.02411', 'grad_norm': '0.008826', 'learning_rate': '1.729e-05', 'epoch': '1.083'}
{'loss': '0.0385', 'grad_norm': '0.006048', 'learning_rate': '1.728e-05', 'epoch': '1.089'}
{'loss': '0.01304', 'grad_norm': '0.008516', 'learning_rate': '1.726e-05', 'epoch': '1.095'}
{'loss': '0.04538', 'grad_norm': '0.02069', 'learning_rate': '1.725e-05', 'epoch': '1.101'}
{'loss': '0.01274', 'grad_norm': '0.02231', 'learning_rate': '1.723e-05', 'epoch': '1.107'}
{'loss': '0.01053', 'grad_norm': '0.009644', 'learning_rate': '1.722e-05', 'epoch': '1.113'}
