GPU 0: NVIDIA A100-PCIE-40GB (UUID: GPU-8fe22491-0fcf-953f-984a-d3cef85341a0)
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2022 NVIDIA Corporation
Built on Wed_Jun__8_16:49:14_PDT_2022
Cuda compilation tools, release 11.7, V11.7.99
Build cuda_11.7.r11.7/compiler.31442593_0
Python 3.10.20

===== Fold 1 =====
{'loss': '0.3885', 'grad_norm': '39.46', 'learning_rate': '1.985e-05', 'epoch': '0.7482'}
{'loss': '0.3009', 'grad_norm': '59.73', 'learning_rate': '1.985e-05', 'epoch': '0.7543'}
{'loss': '0.3656', 'grad_norm': '57.43', 'learning_rate': '1.985e-05', 'epoch': '0.7603'}
{'loss': '0.2731', 'grad_norm': '144.2', 'learning_rate': '1.985e-05', 'epoch': '0.7664'}
{'loss': '0.3206', 'grad_norm': '26.05', 'learning_rate': '1.985e-05', 'epoch': '0.7725'}
{'loss': '0.3557', 'grad_norm': '90.51', 'learning_rate': '1.984e-05', 'epoch': '0.7786'}
{'loss': '0.3176', 'grad_norm': '52.01', 'learning_rate': '1.984e-05', 'epoch': '0.7847'}
{'loss': '0.3978', 'grad_norm': '87.43', 'learning_rate': '1.984e-05', 'epoch': '0.7908'}
{'loss': '0.3236', 'grad_norm': '79.67', 'learning_rate': '1.984e-05', 'epoch': '0.7968'}
{'loss': '0.3231', 'grad_norm': '26.68', 'learning_rate': '1.984e-05', 'epoch': '0.8029'}
{'loss': '0.2992', 'grad_norm': '158.2', 'learning_rate': '1.984e-05', 'epoch': '0.809'}
{'loss': '0.333', 'grad_norm': '127.7', 'learning_rate': '1.984e-05', 'epoch': '0.8151'}
{'loss': '0.2851', 'grad_norm': '56.47', 'learning_rate': '1.984e-05', 'epoch': '0.8212'}
{'loss': '0.323', 'grad_norm': '61.64', 'learning_rate': '1.983e-05', 'epoch': '0.8273'}
{'loss': '0.3042', 'grad_norm': '36.92', 'learning_rate': '1.983e-05', 'epoch': '0.8333'}
{'loss': '0.3583', 'grad_norm': '41.54', 'learning_rate': '1.983e-05', 'epoch': '0.8394'}
{'loss': '0.3395', 'grad_norm': '19.58', 'learning_rate': '1.983e-05', 'epoch': '0.8455'}
{'loss': '0.3046', 'grad_norm': '60.01', 'learning_rate': '1.983e-05', 'epoch': '0.8516'}
{'loss': '0.3426', 'grad_norm': '51.64', 'learning_rate': '1.983e-05', 'epoch': '0.8577'}
{'loss': '0.3573', 'grad_norm': '135.4', 'learning_rate': '1.983e-05', 'epoch': '0.8637'}
{'loss': '0.2593', 'grad_norm': '36.2', 'learning_rate': '1.983e-05', 'epoch': '0.8698'}
{'loss': '0.2505', 'grad_norm': '27.39', 'learning_rate': '1.982e-05', 'epoch': '0.8759'}
{'loss': '0.2483', 'grad_norm': '26.66', 'learning_rate': '1.982e-05', 'epoch': '0.882'}
{'loss': '0.343', 'grad_norm': '61.76', 'learning_rate': '1.982e-05', 'epoch': '0.8881'}
{'loss': '0.3368', 'grad_norm': '16.16', 'learning_rate': '1.982e-05', 'epoch': '0.8942'}
