GPU 0: NVIDIA A100-PCIE-40GB (UUID: GPU-8fe22491-0fcf-953f-984a-d3cef85341a0)
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2022 NVIDIA Corporation
Built on Wed_Jun__8_16:49:14_PDT_2022
Cuda compilation tools, release 11.7, V11.7.99
Build cuda_11.7.r11.7/compiler.31442593_0
Python 3.10.20

===== Fold 1 =====
{'loss': '0.01131', 'grad_norm': '0.9382', 'learning_rate': '1.979e-05', 'epoch': '1.061'}
{'loss': '0.02397', 'grad_norm': '4.126', 'learning_rate': '1.979e-05', 'epoch': '1.067'}
{'loss': '0.03684', 'grad_norm': '0.01536', 'learning_rate': '1.979e-05', 'epoch': '1.073'}
{'loss': '0.001796', 'grad_norm': '0.01943', 'learning_rate': '1.978e-05', 'epoch': '1.079'}
{'loss': '0.0006615', 'grad_norm': '0.02044', 'learning_rate': '1.978e-05', 'epoch': '1.085'}
{'loss': '0.04344', 'grad_norm': '0.03553', 'learning_rate': '1.978e-05', 'epoch': '1.091'}
{'loss': '0.008429', 'grad_norm': '3.787', 'learning_rate': '1.978e-05', 'epoch': '1.098'}
{'loss': '0.02501', 'grad_norm': '2.112', 'learning_rate': '1.978e-05', 'epoch': '1.104'}
{'loss': '0.06773', 'grad_norm': '28.82', 'learning_rate': '1.978e-05', 'epoch': '1.11'}
{'loss': '0.03681', 'grad_norm': '38.15', 'learning_rate': '1.978e-05', 'epoch': '1.116'}
{'loss': '0.02905', 'grad_norm': '10.04', 'learning_rate': '1.978e-05', 'epoch': '1.122'}
{'loss': '0.001263', 'grad_norm': '0.007632', 'learning_rate': '1.977e-05', 'epoch': '1.128'}
{'loss': '0.0006334', 'grad_norm': '0.0191', 'learning_rate': '1.977e-05', 'epoch': '1.134'}
{'loss': '0.04905', 'grad_norm': '1.474', 'learning_rate': '1.977e-05', 'epoch': '1.14'}
{'loss': '0.02676', 'grad_norm': '0.01848', 'learning_rate': '1.977e-05', 'epoch': '1.146'}
{'loss': '0.06875', 'grad_norm': '0.01054', 'learning_rate': '1.977e-05', 'epoch': '1.152'}
{'loss': '0.05207', 'grad_norm': '0.02144', 'learning_rate': '1.977e-05', 'epoch': '1.159'}
{'loss': '0.03434', 'grad_norm': '0.02949', 'learning_rate': '1.977e-05', 'epoch': '1.165'}
{'loss': '0.03473', 'grad_norm': '0.0179', 'learning_rate': '1.977e-05', 'epoch': '1.171'}
{'loss': '0.005942', 'grad_norm': '0.01904', 'learning_rate': '1.976e-05', 'epoch': '1.177'}
{'loss': '0.002943', 'grad_norm': '0.4021', 'learning_rate': '1.976e-05', 'epoch': '1.183'}
{'loss': '0.0289', 'grad_norm': '1.017', 'learning_rate': '1.976e-05', 'epoch': '1.189'}
{'loss': '0.001041', 'grad_norm': '11.9', 'learning_rate': '1.976e-05', 'epoch': '1.195'}
{'loss': '0.02856', 'grad_norm': '65.71', 'learning_rate': '1.976e-05', 'epoch': '1.201'}
{'loss': '0.02857', 'grad_norm': '0.007809', 'learning_rate': '1.976e-05', 'epoch': '1.207'}
{'loss': '0.01402', 'grad_norm': '0.006291', 'learning_rate': '1.976e-05', 'epoch': '1.213'}
{'loss': '0.02953', 'grad_norm': '0.8778', 'learning_rate': '1.976e-05', 'epoch': '1.22'}
{'loss': '0.008999', 'grad_norm': '0.0255', 'learning_rate': '1.976e-05', 'epoch': '1.226'}
{'loss': '0.02168', 'grad_norm': '0.06308', 'learning_rate': '1.975e-05', 'epoch': '1.232'}
{'loss': '0.02727', 'grad_norm': '0.01225', 'learning_rate': '1.975e-05', 'epoch': '1.238'}
{'loss': '0.02815', 'grad_norm': '0.0107', 'learning_rate': '1.975e-05', 'epoch': '1.244'}
{'loss': '0.03042', 'grad_norm': '0.008906', 'learning_rate': '1.975e-05', 'epoch': '1.25'}
{'loss': '0.03751', 'grad_norm': '0.4221', 'learning_rate': '1.975e-05', 'epoch': '1.256'}
{'loss': '0.01038', 'grad_norm': '0.02098', 'learning_rate': '1.975e-05', 'epoch': '1.262'}
{'loss': '0.006024', 'grad_norm': '0.03051', 'learning_rate': '1.975e-05', 'epoch': '1.268'}
{'loss': '0.004842', 'grad_norm': '0.01451', 'learning_rate': '1.975e-05', 'epoch': '1.274'}
{'loss': '0.004965', 'grad_norm': '0.007381', 'learning_rate': '1.974e-05', 'epoch': '1.28'}
{'loss': '0.004102', 'grad_norm': '0.006979', 'learning_rate': '1.974e-05', 'epoch': '1.287'}
{'loss': '0.006526', 'grad_norm': '0.006392', 'learning_rate': '1.974e-05', 'epoch': '1.293'}
{'loss': '0.0003467', 'grad_norm': '0.004925', 'learning_rate': '1.974e-05', 'epoch': '1.299'}
{'loss': '0.0003103', 'grad_norm': '0.005136', 'learning_rate': '1.974e-05', 'epoch': '1.305'}
{'loss': '0.04468', 'grad_norm': '0.7006', 'learning_rate': '1.974e-05', 'epoch': '1.311'}
{'loss': '0.01447', 'grad_norm': '53.47', 'learning_rate': '1.974e-05', 'epoch': '1.317'}
{'loss': '0.0349', 'grad_norm': '0.004339', 'learning_rate': '1.974e-05', 'epoch': '1.323'}
{'loss': '0.009508', 'grad_norm': '0.01198', 'learning_rate': '1.973e-05', 'epoch': '1.329'}
{'loss': '0.06154', 'grad_norm': '0.02437', 'learning_rate': '1.973e-05', 'epoch': '1.335'}
{'loss': '0.0009419', 'grad_norm': '0.01586', 'learning_rate': '1.973e-05', 'epoch': '1.341'}
{'loss': '0.004156', 'grad_norm': '3.9', 'learning_rate': '1.973e-05', 'epoch': '1.348'}
{'loss': '0.00112', 'grad_norm': '0.1165', 'learning_rate': '1.973e-05', 'epoch': '1.354'}
{'loss': '0.04945', 'grad_norm': '0.01038', 'learning_rate': '1.973e-05', 'epoch': '1.36'}
{'loss': '0.007791', 'grad_norm': '4.395', 'learning_rate': '1.973e-05', 'epoch': '1.366'}
{'loss': '0.009772', 'grad_norm': '0.008527', 'learning_rate': '1.973e-05', 'epoch': '1.372'}
{'loss': '0.03187', 'grad_norm': '0.01916', 'learning_rate': '1.972e-05', 'epoch': '1.378'}
{'loss': '0.04236', 'grad_norm': '0.008685', 'learning_rate': '1.972e-05', 'epoch': '1.384'}
{'loss': '0.005674', 'grad_norm': '0.02076', 'learning_rate': '1.972e-05', 'epoch': '1.39'}
{'loss': '0.02122', 'grad_norm': '16.65', 'learning_rate': '1.972e-05', 'epoch': '1.396'}
{'loss': '0.02139', 'grad_norm': '15.9', 'learning_rate': '1.972e-05', 'epoch': '1.402'}
{'loss': '0.03083', 'grad_norm': '1.992', 'learning_rate': '1.972e-05', 'epoch': '1.409'}
{'loss': '0.03991', 'grad_norm': '0.02831', 'learning_rate': '1.972e-05', 'epoch': '1.415'}
{'loss': '0.006943', 'grad_norm': '0.01248', 'learning_rate': '1.972e-05', 'epoch': '1.421'}
{'loss': '0.003826', 'grad_norm': '0.00889', 'learning_rate': '1.971e-05', 'epoch': '1.427'}
{'loss': '0.04204', 'grad_norm': '0.01082', 'learning_rate': '1.971e-05', 'epoch': '1.433'}
{'loss': '0.004954', 'grad_norm': '0.02816', 'learning_rate': '1.971e-05', 'epoch': '1.439'}
{'loss': '0.01469', 'grad_norm': '0.02482', 'learning_rate': '1.971e-05', 'epoch': '1.445'}
{'loss': '0.005833', 'grad_norm': '1.284', 'learning_rate': '1.971e-05', 'epoch': '1.451'}
{'loss': '0.008209', 'grad_norm': '0.07651', 'learning_rate': '1.971e-05', 'epoch': '1.457'}
{'loss': '0.02672', 'grad_norm': '6.418', 'learning_rate': '1.971e-05', 'epoch': '1.463'}
{'loss': '0.02396', 'grad_norm': '6.888', 'learning_rate': '1.971e-05', 'epoch': '1.47'}
