GPU 0: NVIDIA A100-PCIE-40GB (UUID: GPU-8fe22491-0fcf-953f-984a-d3cef85341a0)
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2022 NVIDIA Corporation
Built on Wed_Jun__8_16:49:14_PDT_2022
Cuda compilation tools, release 11.7, V11.7.99
Build cuda_11.7.r11.7/compiler.31442593_0
Python 3.10.20

===== Fold 1 =====
{'loss': '0.3084', 'grad_norm': '75.79', 'learning_rate': '1.748e-05', 'epoch': '1.01'}
{'loss': '0.2922', 'grad_norm': '70.01', 'learning_rate': '1.746e-05', 'epoch': '1.016'}
{'loss': '0.3518', 'grad_norm': '21.54', 'learning_rate': '1.745e-05', 'epoch': '1.022'}
{'loss': '0.3076', 'grad_norm': '19.1', 'learning_rate': '1.743e-05', 'epoch': '1.028'}
{'loss': '0.2687', 'grad_norm': '34.82', 'learning_rate': '1.742e-05', 'epoch': '1.034'}
{'loss': '0.3125', 'grad_norm': '163.5', 'learning_rate': '1.74e-05', 'epoch': '1.04'}
{'loss': '0.2696', 'grad_norm': '45.88', 'learning_rate': '1.739e-05', 'epoch': '1.046'}
{'loss': '0.3274', 'grad_norm': '40.37', 'learning_rate': '1.737e-05', 'epoch': '1.052'}
{'loss': '0.3234', 'grad_norm': '43.39', 'learning_rate': '1.736e-05', 'epoch': '1.058'}
{'loss': '0.2851', 'grad_norm': '22.82', 'learning_rate': '1.734e-05', 'epoch': '1.064'}
{'loss': '0.272', 'grad_norm': '235.8', 'learning_rate': '1.733e-05', 'epoch': '1.071'}
{'loss': '0.3399', 'grad_norm': '83.49', 'learning_rate': '1.731e-05', 'epoch': '1.077'}
{'loss': '0.2329', 'grad_norm': '57.52', 'learning_rate': '1.729e-05', 'epoch': '1.083'}
{'loss': '0.342', 'grad_norm': '33.71', 'learning_rate': '1.728e-05', 'epoch': '1.089'}
{'loss': '0.2699', 'grad_norm': '217.2', 'learning_rate': '1.726e-05', 'epoch': '1.095'}
{'loss': '0.3867', 'grad_norm': '431.8', 'learning_rate': '1.725e-05', 'epoch': '1.101'}
{'loss': '0.2932', 'grad_norm': '37.33', 'learning_rate': '1.723e-05', 'epoch': '1.107'}
{'loss': '0.2782', 'grad_norm': '31.08', 'learning_rate': '1.722e-05', 'epoch': '1.113'}
{'loss': '0.2941', 'grad_norm': '73.51', 'learning_rate': '1.72e-05', 'epoch': '1.119'}
{'loss': '0.316', 'grad_norm': '42.53', 'learning_rate': '1.719e-05', 'epoch': '1.125'}
{'loss': '0.2536', 'grad_norm': '19.38', 'learning_rate': '1.717e-05', 'epoch': '1.131'}
{'loss': '0.2986', 'grad_norm': '31.17', 'learning_rate': '1.716e-05', 'epoch': '1.137'}
{'loss': '0.3272', 'grad_norm': '35.32', 'learning_rate': '1.714e-05', 'epoch': '1.144'}
{'loss': '0.2484', 'grad_norm': '24.43', 'learning_rate': '1.713e-05', 'epoch': '1.15'}
{'loss': '0.3485', 'grad_norm': '38.88', 'learning_rate': '1.711e-05', 'epoch': '1.156'}
{'loss': '0.3445', 'grad_norm': '37.47', 'learning_rate': '1.71e-05', 'epoch': '1.162'}
{'loss': '0.2796', 'grad_norm': '18.51', 'learning_rate': '1.708e-05', 'epoch': '1.168'}
{'loss': '0.2477', 'grad_norm': '21.96', 'learning_rate': '1.707e-05', 'epoch': '1.174'}
{'loss': '0.333', 'grad_norm': '38.27', 'learning_rate': '1.705e-05', 'epoch': '1.18'}
{'loss': '0.2504', 'grad_norm': '39.4', 'learning_rate': '1.704e-05', 'epoch': '1.186'}
{'loss': '0.225', 'grad_norm': '63.2', 'learning_rate': '1.702e-05', 'epoch': '1.192'}
{'loss': '0.2647', 'grad_norm': '58.88', 'learning_rate': '1.701e-05', 'epoch': '1.198'}
{'loss': '0.2985', 'grad_norm': '42.79', 'learning_rate': '1.699e-05', 'epoch': '1.204'}
{'loss': '0.2562', 'grad_norm': '42.09', 'learning_rate': '1.698e-05', 'epoch': '1.21'}
{'loss': '0.253', 'grad_norm': '102.1', 'learning_rate': '1.696e-05', 'epoch': '1.217'}
{'loss': '0.2592', 'grad_norm': '38.31', 'learning_rate': '1.694e-05', 'epoch': '1.223'}
{'loss': '0.2789', 'grad_norm': '100.6', 'learning_rate': '1.693e-05', 'epoch': '1.229'}
{'loss': '0.1583', 'grad_norm': '11.92', 'learning_rate': '1.691e-05', 'epoch': '1.235'}
{'loss': '0.2632', 'grad_norm': '52.88', 'learning_rate': '1.69e-05', 'epoch': '1.241'}
{'loss': '0.2019', 'grad_norm': '28.17', 'learning_rate': '1.688e-05', 'epoch': '1.247'}
{'loss': '0.2774', 'grad_norm': '24.26', 'learning_rate': '1.687e-05', 'epoch': '1.253'}
{'loss': '0.2723', 'grad_norm': '89.23', 'learning_rate': '1.685e-05', 'epoch': '1.259'}
{'loss': '0.266', 'grad_norm': '42.4', 'learning_rate': '1.684e-05', 'epoch': '1.265'}
{'loss': '0.2412', 'grad_norm': '17.72', 'learning_rate': '1.682e-05', 'epoch': '1.271'}
{'loss': '0.2598', 'grad_norm': '30.42', 'learning_rate': '1.681e-05', 'epoch': '1.277'}
{'loss': '0.2424', 'grad_norm': '20.15', 'learning_rate': '1.679e-05', 'epoch': '1.283'}
{'loss': '0.3056', 'grad_norm': '19.87', 'learning_rate': '1.678e-05', 'epoch': '1.29'}
{'loss': '0.239', 'grad_norm': '41.92', 'learning_rate': '1.676e-05', 'epoch': '1.296'}
{'loss': '0.2164', 'grad_norm': '30.44', 'learning_rate': '1.675e-05', 'epoch': '1.302'}
{'loss': '0.29', 'grad_norm': '60.88', 'learning_rate': '1.673e-05', 'epoch': '1.308'}
{'loss': '0.2429', 'grad_norm': '7.362', 'learning_rate': '1.672e-05', 'epoch': '1.314'}
{'loss': '0.259', 'grad_norm': '38.55', 'learning_rate': '1.67e-05', 'epoch': '1.32'}
{'loss': '0.2894', 'grad_norm': '42.47', 'learning_rate': '1.669e-05', 'epoch': '1.326'}
{'loss': '0.2508', 'grad_norm': '32.78', 'learning_rate': '1.667e-05', 'epoch': '1.332'}
{'loss': '0.2451', 'grad_norm': '139.3', 'learning_rate': '1.666e-05', 'epoch': '1.338'}
{'loss': '0.2988', 'grad_norm': '30.95', 'learning_rate': '1.664e-05', 'epoch': '1.344'}
{'loss': '0.2759', 'grad_norm': '20.21', 'learning_rate': '1.663e-05', 'epoch': '1.35'}
{'loss': '0.2722', 'grad_norm': '51.33', 'learning_rate': '1.661e-05', 'epoch': '1.356'}
{'loss': '0.2356', 'grad_norm': '21.67', 'learning_rate': '1.66e-05', 'epoch': '1.363'}
{'loss': '0.2289', 'grad_norm': '10.22', 'learning_rate': '1.658e-05', 'epoch': '1.369'}
{'loss': '0.224', 'grad_norm': '46.18', 'learning_rate': '1.656e-05', 'epoch': '1.375'}
{'loss': '0.2313', 'grad_norm': '26.26', 'learning_rate': '1.655e-05', 'epoch': '1.381'}
{'loss': '0.2359', 'grad_norm': '11.56', 'learning_rate': '1.653e-05', 'epoch': '1.387'}
{'loss': '0.2837', 'grad_norm': '12.42', 'learning_rate': '1.652e-05', 'epoch': '1.393'}
{'loss': '0.2339', 'grad_norm': '85.06', 'learning_rate': '1.65e-05', 'epoch': '1.399'}
{'loss': '0.2251', 'grad_norm': '87.37', 'learning_rate': '1.649e-05', 'epoch': '1.405'}
{'loss': '0.2223', 'grad_norm': '17.43', 'learning_rate': '1.647e-05', 'epoch': '1.411'}
{'loss': '0.2595', 'grad_norm': '20.74', 'learning_rate': '1.646e-05', 'epoch': '1.417'}
{'loss': '0.1975', 'grad_norm': '24.85', 'learning_rate': '1.644e-05', 'epoch': '1.423'}
{'loss': '0.2272', 'grad_norm': '41.14', 'learning_rate': '1.643e-05', 'epoch': '1.429'}
{'loss': '0.1734', 'grad_norm': '55.71', 'learning_rate': '1.641e-05', 'epoch': '1.436'}
{'loss': '0.1459', 'grad_norm': '108', 'learning_rate': '1.64e-05', 'epoch': '1.442'}
