GPU 0: NVIDIA A100 80GB PCIe (UUID: GPU-29585563-232c-f53f-831f-ba58a4316572)
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2022 NVIDIA Corporation
Built on Wed_Jun__8_16:49:14_PDT_2022
Cuda compilation tools, release 11.7, V11.7.99
Build cuda_11.7.r11.7/compiler.31442593_0
Python 3.10.20

===== Fold 1 =====
{'loss': '0.03842', 'grad_norm': '0.5065', 'learning_rate': '1.985e-05', 'epoch': '0.7482'}
{'loss': '0.008969', 'grad_norm': '0.03846', 'learning_rate': '1.985e-05', 'epoch': '0.7543'}
{'loss': '0.02159', 'grad_norm': '0.5488', 'learning_rate': '1.985e-05', 'epoch': '0.7603'}
{'loss': '0.009761', 'grad_norm': '0.007724', 'learning_rate': '1.985e-05', 'epoch': '0.7664'}
{'loss': '0.006764', 'grad_norm': '0.00627', 'learning_rate': '1.985e-05', 'epoch': '0.7725'}
{'loss': '0.05661', 'grad_norm': '18.16', 'learning_rate': '1.984e-05', 'epoch': '0.7786'}
{'loss': '0.03466', 'grad_norm': '0.5149', 'learning_rate': '1.984e-05', 'epoch': '0.7847'}
{'loss': '0.05443', 'grad_norm': '0.0247', 'learning_rate': '1.984e-05', 'epoch': '0.7908'}
{'loss': '0.0501', 'grad_norm': '0.04026', 'learning_rate': '1.984e-05', 'epoch': '0.7968'}
{'loss': '0.05442', 'grad_norm': '0.07924', 'learning_rate': '1.984e-05', 'epoch': '0.8029'}
{'loss': '0.0302', 'grad_norm': '0.01415', 'learning_rate': '1.984e-05', 'epoch': '0.809'}
{'loss': '0.02694', 'grad_norm': '0.02181', 'learning_rate': '1.984e-05', 'epoch': '0.8151'}
{'loss': '0.06512', 'grad_norm': '0.1305', 'learning_rate': '1.984e-05', 'epoch': '0.8212'}
{'loss': '0.04273', 'grad_norm': '0.04303', 'learning_rate': '1.983e-05', 'epoch': '0.8273'}
{'loss': '0.001897', 'grad_norm': '0.04056', 'learning_rate': '1.983e-05', 'epoch': '0.8333'}
{'loss': '0.0271', 'grad_norm': '0.02423', 'learning_rate': '1.983e-05', 'epoch': '0.8394'}
{'loss': '0.03109', 'grad_norm': '6.722', 'learning_rate': '1.983e-05', 'epoch': '0.8455'}
{'loss': '0.03395', 'grad_norm': '10.19', 'learning_rate': '1.983e-05', 'epoch': '0.8516'}
{'loss': '0.03452', 'grad_norm': '0.2916', 'learning_rate': '1.983e-05', 'epoch': '0.8577'}
{'loss': '0.04891', 'grad_norm': '33.62', 'learning_rate': '1.983e-05', 'epoch': '0.8637'}
